number,mainstory,name,centercharacterimage,rightcenterimage,leftcenterimage,backimage,stillimage,charactercolor,bgm_state,bgm_num,se_num,selectdisp,selectbutton_num,monthimage,selectbuttontext3,selectbuttontext1,selectbuttontext2,textcolor,animation,moveanimation
1,待ちに待った転校初日！,えみ,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,6,0,0
2,今日から通う小木原(おぎはら)学園ってどんな学園なんだろう？,えみ,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,0,0
3,転校初日っていうと私が大好きな乙女ゲームではイケメンと出会うのが基本だよね！,えみ,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,0,0
4,ひょっとしてこの学園への転校も沢山のイケメンと出会えるチャンスだったりして……？！,えみ,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,0,0
5,「キャー！」,女子生徒たち,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,4,0,0
6,中庭のほうから女子生徒たちの悲鳴が聞こえてきた。,えみ,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,6,0,0
7,「キャー！OG☆３よ！」,女子生徒たち,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0
8,「あの……OG☆３ってなんのことですか？」,えみ,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,「あなた知らないの？！あの３人がOG☆３よ！！」,女子生徒A,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0
10,女の子の指す方をみるとそこには大勢の女子に囲まれた３人のイケメンが見えた。,えみ,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,6,0,0
11,「真ん中にいるのがスポーツ推薦で入ってきた１年生の本田琉絆空(るきあ)くん。他の２人とは幼馴染でよく一緒にいるみたい。」,女子生徒A,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0
12,「朝からキャーキャー言ってて本当女子って元気だよな～。」,本田 琉絆空,12,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0
13,「その横にいる七三分けで頭のよさそうな人がいるでしょう？その人が生徒会長の目鏡(めがね)光くん。」,女子生徒A,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0
14,「なんで僕らは日頃からこんなに囲まれてるんだ……。もうすぐ模試があるのに皆勉強しなくていいのか？」,目鏡 光,8,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0
15,「小柄でかわいい見た目の犬山桜児(おうじ)くんは２年生！名前通り演劇部でよく王子役をやってるんだって。」,女子生徒A,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,0,0
16,「やっほ～！みんな元気～？」,犬山 桜児,7,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
17,こ、ここは天国……？！転校初日から本当に乙女ゲームみたいなシチュエーションになっちゃった！,えみ,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,6,0,0
18,この３人とお近づきになれたらいいな～。えへへ。えへへへへ。,えみ,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,6,0,0
19,ドン！,,0,0,0,24,0,0,2,0,1,0,0,0,0,0,0,6,0,0
20,「おい……て……か？」,???,0,0,0,24,0,0,1,2,0,0,0,0,0,0,0,4,0,0
21,何か声が聞こえる……？,えみ,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,6,0,0
22,「おい、お…てい……か？」,???,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
23,私は一体何をしててこうなったんだっけ。乙女ゲームみたいな展開に浮かれて、それで……,えみ,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,6,0,0
24,「聞こえているのかと言っているんだ！」,???,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
25,「ヴェ？！」,えみ,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0
26,「銅像が喋った？？？！！」,えみ,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0
27,「暇だから暖かな春の空気を満喫しておったらなんじゃその肩パンは！創立者に向かって肩パンて！」,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
28,「いや肩パンしたつもりは……」,えみ,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0
29,「うるさい！」,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
30,「ﾋｴｯ！」,えみ,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0
31,「どうせイケメンと乙女ゲームみたいな展開になるのを想像して周りが見えてなかったのじゃろう！」,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
32,「ｷﾞｸｯ」,えみ,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0
33,「そんなお調子者にはわしの暇つぶしとしてOG☆３のイケメンたち３人とも,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
34,個性的なおじさんに見えちゃう呪いにかけてやるもんねェ？！」,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
35,「な、なにそれ？！じゃあイケメン達とすごくドキドキライフ？する未来は消えたってこと？」,えみ,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0
36,「その自信はどこからきとるんじゃ……まあいい。12月のクリスマスまでにおじさん化したOG☆３と愛を育み両思いになれ！,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
37,そのときはまた、わしがおじさんに見える呪いを解いて見せよう！,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
38,わしの暇つぶしコンテンツとして１年頑張るがよいぞ！ふぉふぉふぉ！」,銅像,24,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
39,最悪……きっとこれは悪い夢だ、そうに違いない,えみ,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,6,0,0
40,「おい大丈夫か？！」,???,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
41,「息はある様だが……」,???,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
42,「起きて？！うーん、返事がないねぇ……」,???,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,4,0,0
43,                                      ,,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0
44,「ぎゃーーーー！！！お・じ・さ・ん？！！！！」,えみ,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0,0,0,0
45,「この僕に向かっておじさん……だと？！」,目鏡 光,11,6,5,3,0,2,0,3,0,0,0,0,0,0,0,3,0,0
46,「この子、まだ寝ぼけてるのかもね」,犬山 桜児,11,6,5,3,0,3,0,3,0,0,0,0,0,0,0,1,0,0
47,「はは、こいつおもしれ～！」,本田 琉絆空,11,6,5,3,0,1,0,3,0,0,0,0,0,0,0,2,0,0
48,転校初日からとんでもない目にあっちゃった……。私、イケメン達とドキドキ？トキメキライフする予定だったのに、,えみ,11,6,5,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0
49,これからこのおじさん達とシワシワ？ドギマギライフをおくんなきゃいけないの？？,えみ,11,6,5,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0
50,                           ,5月,0,0,0,0,0,0,2,0,2,0,0,5,0,0,0,4,0,0
51,あれから数週間たったけど、未だにおじさんになったOG☆３に慣れないよ......。,えみ,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,6,0,0
52,クリスマスまでに OG☆３の誰かと両思いかぁ。,えみ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
53,それを達成しないと３人が一生おじさんに見える呪いにかけてやるって言われたときは冗談だと思ったけど,えみ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
54,数週間たってもおじさんに見えてるから本当なんだろうな......。,えみ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
55,ていうかそろそろ誰かと仲良くならないとまずいぞ！どうしよう......。 ,えみ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
56,「おい、大丈夫か？さっきからボーっとしているぞ。」,目鏡 光,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
57,「ハッ！ごめんなさい、考え事をしてて......。」,えみ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,OG☆３の３人は4月のあの日からなにかと気にかけてくれていて、幸い接点は途切れていない。OG☆３は見た目だけじゃなくて中身も優しいんだな～。今は見た目おじさんだけど！！,えみ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
59,「あの日銅像にぶつかって以来、ボーっとしていることが増えたと言っていたが......本当に大丈夫か？」,目鏡 光,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
60,「心配してくれてありがとうございます、光先輩！ ……でも、授業中もぼんやりすることが多くて内容がなかなか頭に入らないんですよね。」,えみ,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,「それは心配だな......。放課後勉強をみてやろう。」,目鏡 光,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
62,教室,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
63,「......じゃあここをこうして、こうすれば......！」,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,「正解だ。今日はここまでにしようか。」 ,目鏡 光,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
65,「助かりました！ありがとうございます。」,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,「ああ。困っている生徒を助けるのは生徒会長の務めだからな。」,目鏡 光,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
67,光先輩、勉強教えるのが上手くて早めに終われたな。これからどうしよう?,えみ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
68,                ,,6,0,0,0,0,0,0,0,0,1,2,0,0,ショッピングに誘う,帰る,5,0,0
