number,mainstory,name,centercharacterimage,rightcaracterimage,leftcharacterimage,backimage,stillimage,characteranimation,bgm,se,selectid,monthimage,fadeanimation,moveanimation,screenanimation
1,待ちに待った転校初日！,,clear,clear,clear,back_school,0,,normal,0,0,0,,,
2,今日から通う小木原(おぎはら)学園ってどんな学園なんだろう？,,clear,clear,clear,back_school,0,,normal,0,0,0,,,
3,転校初日っていうと私が大好きな乙女ゲームではイケメンと出会うのが基本だよね！,,clear,clear,clear,back_school,0,,normal,0,0,0,,,
4,ひょっとしてこの学園への転校も沢山のイケメンと出会えるチャンスだったりして……？！,,clear,clear,clear,back_school,0,,normal,0,0,0,,,
5,「キャー！」,女子生徒たち,clear,clear,clear,back_school,0,,normal,0,0,0,,,
6,中庭のほうから女子生徒たちの悲鳴が聞こえてきた。,,clear,clear,clear,back_school,0,,normal,0,0,0,,,
7,「キャー！OG☆３よ！」,女子生徒たち,clear,clear,clear,back_garden,0,,normal,0,0,0,,,
8,「あの……OG☆３ってなんのことですか？」,えみ,clear,clear,clear,back_garden,0,,normal,0,0,0,,,
9,「あなた知らないの？！あの３人がOG☆３よ！！」,女子生徒A,clear,clear,clear,back_garden,0,,normal,0,0,0,,,
10,女の子の指す方をみるとそこには大勢の女子に囲まれた３人のイケメンが見えた。,,clear,clear,clear,back_garden,0,,normal,0,0,0,,,
11,「真ん中にいるのがスポーツ推薦で入ってきた１年生の本田琉絆空(るきあ)くん。他の２人とは幼馴染でよく一緒にいるみたい。」,女子生徒A,rukia,clear,clear,back_garden,0,,normal,0,0,0,,,
12,「朝からキャーキャー言ってて本当女子って元気だよな～。」,本田 琉絆空,rukiatrouble,clear,clear,back_garden,0,,normal,0,0,0,,,
13,「その横にいる七三分けで頭のよさそうな人がいるでしょう？その人が生徒会長の目鏡(めがね)光くん。」,女子生徒A,hikaru,clear,clear,back_garden,0,,normal,0,0,0,,,
14,「なんで僕らは日頃からこんなに囲まれてるんだ……。もうすぐ模試があるのに皆勉強しなくていいのか？」,目鏡 光,hikarutrouble,clear,clear,back_garden,0,,normal,0,0,0,,,
15,「小柄でかわいい見た目の犬山桜児(おうじ)くんは２年生！名前通り演劇部でよく王子役をやってるんだって。」,女子生徒A,ouzi,clear,clear,back_garden,0,,normal,0,0,0,,,
16,「やっほ～！みんな元気～？」,犬山 桜児,ouzismile,clear,clear,back_garden,0,,normal,0,0,0,,,
17,こ、ここは天国……？！転校初日から本当に乙女ゲームみたいなシチュエーションになっちゃった！,,clear,clear,clear,back_garden,0,,normal,0,0,0,,,
18,この３人とお近づきになれたらいいな～。えへへ。えへへへへ。,,clear,clear,clear,back_garden,0,,normal,0,0,0,,,
19,ドン！,,clear,clear,clear,black,0,,0,attack,0,0,,,
20,「おい……て……か？」,???,clear,clear,clear,black,0,,dark,0,0,0,,,
21,何か声が聞こえる……？,,clear,clear,clear,black,0,,dark,0,0,0,,,
22,「おい、お…てい……か？」,???,clear,clear,clear,black,0,,dark,0,0,0,,,
23,私は一体何をしててこうなったんだっけ。乙女ゲームみたいな展開に浮かれて、それで……,,clear,clear,clear,black,0,,dark,0,0,0,,,
24,「聞こえているのかと言っているんだ！」,???,clear,clear,clear,black,0,,dark,0,0,0,,,
25,「ヴェ？！」,えみ,clear,clear,clear,black,0,,dark,0,0,0,,,
26,「銅像が喋った？？？！！」,えみ,clear,clear,clear,black,0,,dark,0,0,0,,,
27,「暇だから暖かな春の空気を満喫しておったらなんじゃその肩パンは！創立者に向かって肩パンて！」,銅像,statue,clear,clear,black,0,,dark,0,0,0,,,
28,「いや肩パンしたつもりは……」,えみ,statue,clear,clear,black,0,,dark,0,0,0,,,
29,「うるさい！」,銅像,statue,clear,clear,black,0,,dark,0,0,0,,,
30,「ﾋｴｯ！」,えみ,statue,clear,clear,black,0,,dark,0,0,0,,,
31,「どうせイケメンと乙女ゲームみたいな展開になるのを想像して周りが見えてなかったのじゃろう！」,銅像,statue,clear,clear,black,0,,dark,0,0,0,,,
32,「ｷﾞｸｯ」,えみ,statue,clear,clear,black,0,,dark,0,0,0,,,
33,「そんなお調子者にはわしの暇つぶしとしてOG☆３のイケメンたち３人とも,銅像,statue,clear,clear,black,0,,dark,0,0,0,,,
34,個性的なおじさんに見えちゃう呪いにかけてやるもんねェ？！」,銅像,statue,clear,clear,black,0,,dark,0,0,0,,,
35,「な、なにそれ？！じゃあイケメン達とすごくドキドキライフ？する未来は消えたってこと？」,えみ,statue,clear,clear,black,0,,dark,0,0,0,,,
36,「その自信はどこからきとるんじゃ……まあいい。12月のクリスマスまでにおじさん化したOG☆３と愛を育み両思いになれ！,銅像,statue,clear,clear,black,0,,dark,0,0,0,,,
37,そのときはまた、わしがおじさんに見える呪いを解いて見せよう！,銅像,statue,clear,clear,black,0,,dark,0,0,0,,,
38,わしの暇つぶしコンテンツとして１年頑張るがよいぞ！ふぉふぉふぉ！」,銅像,statue,clear,clear,black,0,,dark,0,0,0,,,
39,最悪……きっとこれは悪い夢だ、そうに違いない,,clear,clear,clear,black,0,,dark,0,0,0,,,
40,「おい大丈夫か？！」,???,clear,clear,clear,black,0,,dark,0,0,0,,,
41,「息はある様だが……」,???,clear,clear,clear,black,0,,dark,0,0,0,,,
42,「起きて？！うーん、返事がないねぇ……」,???,clear,clear,clear,black,0,,dark,0,0,0,,,
43,,,clear,clear,clear,back_classroom,0still_April,,shock,0,0,0,,,
44,「ぎゃーーーー！！！お・じ・さ・ん？！！！！」,えみ,clear,clear,clear,still_April,0,,shock,0,0,0,,,
45,「この僕に向かっておじさん……だと？！」,目鏡 光,ouziojitrouble,hikaruoji_yareyare,rukiaoji_husigi,back_garden,0,,shock,0,0,0,,,
46,「この子、まだ寝ぼけてるのかもね」,犬山 桜児,ouziojishock,hikaruoji_mu,rukiaoji_husigi,back_garden,0,,shock,0,0,0,,,
47,「はは、こいつおもしれ～！」,本田 琉絆空,ouziojitrouble,hikaruoji_mu,rukiaojismile,back_garden,0,,shock,0,0,0,,,
48,転校初日からとんでもない目にあっちゃった……。私、イケメン達とドキドキ？トキメキライフする予定だったのに、,,ouziojitrouble,hikaruoji_mu,rukiaoji,back_garden,0,,shock,0,0,0,,,
49,これからこのおじさん達とシワシワ？ドギマギライフをおくんなきゃいけないの？？,,ouziojitrouble,hikaruoji_mu,rukiaoji,back_garden,0,,shock,0,0,0,,,
50,,                ,clear,clear,clear,back_garden,0,,0,jingle,0,month_May,,,
51,クリスマスまでに OG☆３の誰かと両思いかぁ。,,clear,clear,clear,back_corridor,0,,0,0,0,0,,,
52,それを達成しないと３人が一生おじさんに見える呪いにかけてやるって言われたときは冗談だと思ったけど,,clear,clear,clear,back_corridor,0,,normal,0,0,0,,,
53,数週間たってもおじさんに見えてるから本当なんだろうな......。,,clear,clear,clear,back_corridor,0,,normal,0,0,0,,,
54,ていうかそろそろ誰かと仲良くならないとまずいぞ！どうしよう......。 ,,clear,clear,clear,back_corridor,0,,normal,0,0,0,,,
55,「おい、大丈夫か？さっきからボーっとしているぞ。」,目鏡 光,hikaruoji_mu,clear,clear,back_corridor,0,,normal,0,0,0,,,
56,「ハッ！ごめんなさい、考え事をしてて......。」,えみ,hikaruoji_mu,clear,clear,back_corridor,0,,normal,0,0,0,,,
57,OG☆３の３人は4月のあの日からなにかと気にかけてくれていて、幸い接点は途切れていない。OG☆３は見た目だけじゃなくて中身も優しいんだな～。,,hikaruoji_mu,clear,clear,back_corridor,0,,normal,0,0,0,,,
58,「あの日銅像にぶつかって以来、ボーっとしていることが増えたと言っていたが......本当に大丈夫か？」,目鏡 光,hikaruoji_gomakashi,clear,clear,back_corridor,0,,normal,0,0,0,,,
59,「心配してくれてありがとうございます、光先輩！ ……でも、授業中もぼんやりすることが多くて内容がなかなか頭に入らないんですよね。」,えみ,hikaruoji,clear,clear,back_corridor,0,,normal,0,0,0,,,
60,「それは心配だな......。放課後勉強をみてやろう。」,目鏡 光,hikaruoji,clear,clear,back_corridor,0,,normal,0,0,0,,,
61, ,clear,clear,clear,clear,back_classroom,0,,normal,0,0,0,,教室,
62,「......じゃあここをこうして、こうすれば......！」,えみ,hikaruoji,clear,clear,back_classroom,0,,normal,0,0,0,,,
63,「正解だ。今日はここまでにしようか。」 ,目鏡 光,hikaruoji_smile,clear,clear,back_classroom,0,,normal,0,0,0,,,
64,「助かりました！ありがとうございます。」,えみ,hikaruoji_smile,clear,clear,back_classroom,0,,normal,0,0,0,,,
65,「ああ。困っている生徒を助けるのは生徒会長の務めだからな。」,目鏡 光,hikaruoji_smile,clear,clear,back_classroom,0,,normal,0,0,0,,,
66,光先輩、勉強教えるのが上手くて早めに終われたな。これからどうしよう?,,hikaruoji,clear,clear,back_classroom,0,,normal,0,0,0,,,
67, ,,hikaruoji,clear,clear,back_classroom,0,,normal,0,1,0,,,
68,やっぱりせっかくのチャンスだし光先輩を誘って仲良くなるべきだよね！,,hikaruoji,clear,clear,back_classroom,0,,normal,0,0,0,,,
69,「光先輩、これから時間空いてますか？商店街で買いたいものがあって。」,えみ,hikaruoji,clear,clear,back_classroom,0,,normal,0,0,0,,,
70,「ああ。いいぞ。僕も行きたい所があったんだ」,目鏡 光,hikaruoji_smile,clear,clear,back_classroom,0,,normal,0,0,0,,,
71,光先輩が行きたい所ってどこなんだろう？,,hikaruoji_smile,clear,clear,back_classroom,0,,normal,0,0,0,,,
72,  ,clear,clear,clear,clear,back_classroom,0,,normal,0,0,0,in,,
73,  ,clear,clear,clear,clear,back_shopload,0,,0,0,0,0,out,,
74,                                  ,clear,clear,clear,clear,back_shopload,0,,street,0,0,0,,ファンシーショップ,
75,「え、ここ……ですか？」,えみ,clear,clear,clear,back_shopload,0,,street,0,0,0,,,
76,「ここだ。」,目鏡 光,hikaruoji_yareyare,clear,clear,back_shopload,0,,street,0,0,0,,,
77,目の前にあるのは女子高生御用達のファンシーショップだ。,,hikaruoji_yareyare,clear,clear,back_shopload,0,,street,0,0,0,,,
78,「光先輩って意外とかわいいものが好きなんですね。」,えみ,hikaruoji,clear,clear,back_shopload,0,,street,0,0,0,,,
79,「別に僕がかわいい物好きな訳ではないからな。,目鏡 光,hikaruoji_tere,clear,clear,back_shopload,0,,street,0,0,0,,,
80,年の離れた妹に誕生日プレゼントを買いにきただけだ、勘違いしないでくれ。」,目鏡 光,hikaruoji_gomakashi,clear,clear,back_shopload,0,,street,0,0,0,,,
81,ちょっとムキになっているようにみえるのは気のせい？,,hikaruoji_gomakashi,clear,clear,back_shopload,0,,street,0,0,0,,,
82,「これもかわいいな……ぬいぐるみも捨て難いし……こっちの限定コラボのお菓子もいいな。」,目鏡 光,hikaruoji_smile,clear,clear,back_shopload,0,rlpyon,fancyshop,0,0,0,,,
83,さっきから私そっちのけで真剣に悩んでるな,,hikaruoji_smile,clear,clear,back_shopload,0,,fancyshop,0,0,0,,,
84,かまって欲しいからイタズラしちゃえ！,,hikaruoji_smile,clear,clear,back_shopload,0,,fancyshop,0,0,0,,,
85,「光先輩！」,えみ,hikaruoji_tere,clear,clear,back_shopload,0,,fancyshop,0,0,0,,,
86,           ,,clear,clear,clear,back_classroom,1still_May_hikaru,,fancyshop,0,0,0,,,
87,「な、なんだ？！」,目鏡 光,clear,clear,clear,still_May_hikaru,0,,fancyshop,0,0,0,,,
88,「かわいい〜！その帽子似合ってますよ。」,えみ,clear,clear,clear,still_May_hikaru,0,,fancyshop,0,0,0,,,
89,「先輩に対してなにを……ってこれ持ってるぞ。かわいいよな、これ」,目鏡 光,hikaruoji_tere,clear,clear,back_shopload,0,,fancyshop,0,0,0,,,
